name,brand,categories,date,dateSeen,doRecommend,numHelpful,rating,text,title,username,sadness,neutral,joy,surprise,disgust,fear,anger,pos,neg
Amazon Kindle Paperwhite - eBook reader - 4 GB- touchscreen - Wi-Fi,Amazon,"Tablets,Fire Tablets,Computers & Tablets,All Tablets",2017-02-05 00:00:00+00:00,2017-06-04 02:18:03.660000+00:00,True,0.0,3.0,Its a nice little set up but it's slow. I wish I would have investigated them a little more before just jumping in.,I like it but....,ShaesMom,0.4839322865009308,0.28338485956192017,0.10573049634695053,0.10081445425748825,0.01729845255613327,0.0046555777080357075,0.004183913115411997,0.6504021286964417,0.34959784150123596
Amazon Kindle Paperwhite - eBook reader - 4 GB- touchscreen - Wi-Fi,Amazon,"Tablets,Fire Tablets,Computers & Tablets,All Tablets",2017-02-05 00:00:00+00:00,2017-06-04 02:18:03.660000+00:00,True,0.0,5.0,As long as apps are downloaded before leaving WIFI they work great for road trips or hunting trips!,Great for road trips!,Kellif227,0.004326130263507366,0.361776739358902,0.5940555334091187,0.025787457823753357,0.002904581604525447,0.0022664933931082487,0.008883040398359299,0.9837559461593628,0.016244083642959595
Amazon Kindle Paperwhite - eBook reader - 4 GB- touchscreen - Wi-Fi,Amazon,"Tablets,Fire Tablets,Computers & Tablets,All Tablets",2017-02-05 00:00:00+00:00,2017-06-04 02:18:03.660000+00:00,True,0.0,5.0,Was a gift for our 8 year old daughter. Great for kids,Great for kids,Bubba,0.003708457574248314,0.011454407125711441,0.9543779492378235,0.028308751061558723,0.000690803921315819,0.0003717683721333742,0.0010878205066546798,0.9881398677825928,0.011860103346407413
Amazon Kindle Paperwhite - eBook reader - 4 GB- touchscreen - Wi-Fi,Amazon,"Tablets,Fire Tablets,Computers & Tablets,All Tablets",2017-02-05 00:00:00+00:00,2017-06-04 02:18:03.660000+00:00,True,0.0,5.0,my grandkids love it. This is the 3 one we bought.,kids love it,skeet,0.025120055302977562,0.3303554356098175,0.4916543662548065,0.1290000081062317,0.006700353231281042,0.0017095598159357905,0.015460280701518059,0.9905698299407959,0.009430176578462124
Amazon Kindle Paperwhite - eBook reader - 4 GB- touchscreen - Wi-Fi,Amazon,"Tablets,Fire Tablets,Computers & Tablets,All Tablets",2017-02-05 00:00:00+00:00,2017-06-04 02:18:03.660000+00:00,True,0.0,3.0,Great case ok tablet no Android play store. Weak micro usb port. It's isn't an straight out the box tablet. Had to install Android play store on it. And as far as the charging port goes I'm on my 3rd one but best buy are the best with their return policy...,Tablet not for kids,Kidsphone,0.1717022806406021,0.5260795950889587,0.04356185719370842,0.24464774131774902,0.006109407637268305,0.002589155687019229,0.00530998082831502,0.7047497034072876,0.2952503263950348
Amazon Kindle Paperwhite - eBook reader - 4 GB- touchscreen - Wi-Fi,Amazon,"Tablets,Fire Tablets,Computers & Tablets,All Tablets",2017-02-04 00:00:00+00:00,2017-06-04 02:18:03.660000+00:00,True,0.0,3.0,Grandson became board with what it offers. Plug wears out fast,Good for young kids,Shannon,0.005774801596999168,0.5903220772743225,0.3665744662284851,0.022383112460374832,0.0048134783282876015,0.0013681951677426696,0.008763838559389114,0.8976427316665649,0.10235721617937088
Amazon Kindle Paperwhite - eBook reader - 4 GB- touchscreen - Wi-Fi,Amazon,"Tablets,Fire Tablets,Computers & Tablets,All Tablets",2017-02-04 00:00:00+00:00,2017-06-04 02:18:05.131000+00:00,False,0.0,1.0,This product wouldn't turn on nor charge and then store couldn't locate another one for me.,Product Issues,FitnessBuff,0.43386030197143555,0.4485824704170227,0.00208217091858387,0.022140223532915115,0.02761254645884037,0.017561595886945724,0.04816070944070816,0.7663843631744385,0.23361563682556152
Amazon Kindle Paperwhite - eBook reader - 4 GB- touchscreen - Wi-Fi,Amazon,"Tablets,Fire Tablets,Computers & Tablets,All Tablets",2017-02-04 00:00:00+00:00,2017-06-04 02:18:05.131000+00:00,True,0.0,5.0,Grand daughter is two years old and watches her older brother and sister use their iPads. So we got her the Amazon Fire Kids Addition and she loves it. She has a great time with learning numbers and the alphabet.,Great iPad for beginner,Phillips,0.012117006815969944,0.530762255191803,0.39995279908180237,0.040725916624069214,0.006159051787108183,0.0020151149947196245,0.008267882280051708,0.9923830628395081,0.007616901304572821
Amazon Kindle Paperwhite - eBook reader - 4 GB- touchscreen - Wi-Fi,Amazon,"Tablets,Fire Tablets,Computers & Tablets,All Tablets",2017-02-04 00:00:00+00:00,2017-06-04 02:18:05.131000+00:00,True,0.0,4.0,Perfect for educational games. The protective case sold me.,Great tablet for toddler,Gofish28,0.006367028690874577,0.35189005732536316,0.5854103565216064,0.043026842176914215,0.005529489368200302,0.001313636894337833,0.006462574936449528,0.9896154403686523,0.010384589433670044
Amazon Kindle Paperwhite - eBook reader - 4 GB- touchscreen - Wi-Fi,Amazon,"Tablets,Fire Tablets,Computers & Tablets,All Tablets",2017-02-04 00:00:00+00:00,2017-06-04 02:18:05.131000+00:00,True,0.0,4.0,"Tablet is easy to use, however only allows 48 hours of offline viewing when movies are downloaded, then must be reset online again. This is an inconvenience. Other than that one issue, I am very satisfied with the tablet.",good tablet for a young child,Teri,0.021886439993977547,0.615490734577179,0.3214680254459381,0.017675118520855904,0.008740847930312157,0.0014584566233679652,0.013280435465276241,0.991894543170929,0.008105422370135784
Amazon Kindle Paperwhite - eBook reader - 4 GB- touchscreen - Wi-Fi,Amazon,"Tablets,Fire Tablets,Computers & Tablets,All Tablets",2017-02-04 00:00:00+00:00,2017-06-04 02:18:05.131000+00:00,True,0.0,4.0,My son loves this product and uses it all the time.,My son loves it,Momoftwo,0.011118872091174126,0.08174204081296921,0.8628721237182617,0.016164574772119522,0.011602677404880524,0.0008514226647093892,0.015648169443011284,0.9888094067573547,0.011190581135451794
Amazon Kindle Paperwhite - eBook reader - 4 GB- touchscreen - Wi-Fi,Amazon,"Tablets,Fire Tablets,Computers & Tablets,All Tablets",2017-02-04 00:00:00+00:00,2017-06-04 02:18:05.131000+00:00,True,0.0,5.0,"My 3 1/2 year old grandson son LOVES this ""big game"" as he calls it.",Great tablet for a toddler,EliseC,0.01820455677807331,0.06047819182276726,0.8874170780181885,0.015051377937197685,0.010717054829001427,0.0009422813891433179,0.0071895006112754345,0.987894594669342,0.012105402536690235
Amazon Kindle Paperwhite - eBook reader - 4 GB- touchscreen - Wi-Fi,Amazon,"Tablets,Fire Tablets,Computers & Tablets,All Tablets",2017-02-04 00:00:00+00:00,2017-06-04 02:18:05.131000+00:00,True,0.0,5.0,"Bought this for my Granddaughter, she absolutely loves it!",Great Tablet for kids,Clarkles,0.0072883786633610725,0.1395965814590454,0.7101194858551025,0.12376854568719864,0.0032699513249099255,0.0010483436053618789,0.014908717013895512,0.987672746181488,0.012327225878834724
Amazon Kindle Paperwhite - eBook reader - 4 GB- touchscreen - Wi-Fi,Amazon,"Tablets,Fire Tablets,Computers & Tablets,All Tablets",2017-02-04 00:00:00+00:00,2017-06-04 02:18:05.131000+00:00,True,0.0,5.0,My grandbaby loves hers. We gave it as a Christmas present!,Love,Swtthang1994,0.033955976366996765,0.029651766642928123,0.8783184885978699,0.04620392993092537,0.0035623940639197826,0.0006930126692168415,0.007614478934556246,0.9851314425468445,0.014868587255477905
Amazon Kindle Paperwhite - eBook reader - 4 GB- touchscreen - Wi-Fi,Amazon,"Tablets,Fire Tablets,Computers & Tablets,All Tablets",2017-02-04 00:00:00+00:00,2017-06-04 02:18:05.088000+00:00,True,0.0,4.0,This tablet has been great. Although I recommend getting a memory card so you have no storage issues!,Great for beginner,Drea,0.005765749607235193,0.3739195168018341,0.5804336071014404,0.028617409989237785,0.0039939284324646,0.0030948841013014317,0.004174909088760614,0.9901396632194519,0.009860359132289886
Amazon Kindle Paperwhite - eBook reader - 4 GB- touchscreen - Wi-Fi,Amazon,"Tablets,Fire Tablets,Computers & Tablets,All Tablets",2017-02-04 00:00:00+00:00,2017-06-04 02:18:05.088000+00:00,True,0.0,5.0,It was the best Christmas Present for my grandson.,Great Product,Karen,0.0024578149896115065,0.012171940878033638,0.9564838409423828,0.02631920576095581,0.0009673326276242733,0.000403621670557186,0.0011962183052673936,0.958217442035675,0.041782595217227936
Amazon Kindle Paperwhite - eBook reader - 4 GB- touchscreen - Wi-Fi,Amazon,"Tablets,Fire Tablets,Computers & Tablets,All Tablets",2017-02-04 00:00:00+00:00,2017-06-04 02:18:05.088000+00:00,True,0.0,5.0,She has learned how to play games and learning games. Easy to get to her apps and learned how to download. She charges it every night so it can be ready for her when she gets out of school,My Grand daughter enjoys it she is 6,Anna,0.0077227260917425156,0.09406519681215286,0.8755377531051636,0.009116007015109062,0.005788214970380068,0.0007361911702901125,0.007033949252218008,0.9903106093406677,0.009689396247267723
