name,brand,categories,date,dateSeen,doRecommend,numHelpful,rating,text,title,username,joy,neutral,sadness,disgust,surprise,anger,fear,pos,neg
"All-New Fire HD 8 Tablet, 8 HD Display, Wi-Fi, 16 GB",Amazon,"Electronics,iPad & Tablets,All Tablets,Fire Tablets,Tablets,Computers & Tablets",2017-01-13 00:00:00+00:00,2017-06-07 09:04:00+00:00,True,0.0,5.0,This product so far has not disappointed. My children love to use it and I like the ability to monitor control what content they see with ease.,Kindle,Adapter,0.5973888039588928,0.3321029543876648,0.038079168647527695,0.013909065164625645,0.008921760134398937,0.008584932424128056,0.0010134149342775345,0.9940832257270813,0.0059167309664189816
"All-New Fire HD 8 Tablet, 8 HD Display, Wi-Fi, 16 GB",Amazon,"Electronics,iPad & Tablets,All Tablets,Fire Tablets,Tablets,Computers & Tablets",2017-01-13 00:00:00+00:00,2017-06-07 09:04:00+00:00,True,0.0,5.0,great for beginner or experienced person. Bought as a gift and she loves it,very fast,truman,0.3589702546596527,0.2875218689441681,0.006892770994454622,0.002097730292007327,0.32993391156196594,0.010956460610032082,0.003626992693170905,0.9896056652069092,0.010394295677542686
"All-New Fire HD 8 Tablet, 8 HD Display, Wi-Fi, 16 GB",Amazon,"Electronics,iPad & Tablets,All Tablets,Fire Tablets,Tablets,Computers & Tablets",2017-01-13 00:00:00+00:00,2017-06-07 09:04:00+00:00,True,0.0,5.0,"Inexpensive tablet for him to use and learn on, step up from the NABI. He was thrilled with it, learn how to Skype on it already...",Beginner tablet for our 9 year old son.,DaveZ,0.8131632804870605,0.060042839497327805,0.003969651646912098,0.0025400931481271982,0.10889891535043716,0.010088624432682991,0.0012966623762622476,0.9913060069084167,0.008693975396454334
"All-New Fire HD 8 Tablet, 8 HD Display, Wi-Fi, 16 GB",Amazon,"Electronics,iPad & Tablets,All Tablets,Fire Tablets,Tablets,Computers & Tablets",2017-01-13 00:00:00+00:00,2017-06-07 09:04:00+00:00,True,0.0,4.0,I've had my Fire HD 8 two weeks now and I love it. This tablet is a great value.We are Prime Members and that is where this tablet SHINES. I love being able to easily access all of the Prime content as well as movies you can download and watch laterThis has a 1280/800 screen which has some really nice look to it its nice and crisp and very bright infact it is brighter then the ipad pro costing $900 base model. The build on this fire is INSANELY AWESOME running at only 7.7mm thick and the smooth glossy feel on the back it is really amazing to hold its like the futuristic tab in ur hands.,Good!!!,Shacks,0.7821564078330994,0.08894606679677963,0.003536175936460495,0.002437395043671131,0.11641032993793488,0.005656190682202578,0.0008575152023695409,0.9944890737533569,0.005510867107659578
"All-New Fire HD 8 Tablet, 8 HD Display, Wi-Fi, 16 GB",Amazon,"Electronics,iPad & Tablets,All Tablets,Fire Tablets,Tablets,Computers & Tablets",2017-01-12 00:00:00+00:00,2017-06-07 09:04:00+00:00,True,0.0,5.0,"I bought this for my grand daughter when she comes over to visit. I set it up with her as the user, entered her age and name and now Amazon makes sure that she only accesses sites and content that are appropriate to her age. Simple to do and she loves the capabilities. I also bought and installed a 64gig SD card which gives this little tablet plenty of storage. For the price I think this tablet is best one out there. You can spend hundreds of dollars more for additional speed and capacity but when it comes to the basics this tablets does everything that most people will ever need at a fraction of the cost.",Fantastic Tablet for kids,explore42,0.13968563079833984,0.7887704372406006,0.00630131084471941,0.00477047311142087,0.0523589588701725,0.007236417382955551,0.0008767233230173588,0.9943541288375854,0.00564583158120513
"All-New Fire HD 8 Tablet, 8 HD Display, Wi-Fi, 16 GB",Amazon,"Electronics,iPad & Tablets,All Tablets,Fire Tablets,Tablets,Computers & Tablets",2017-01-12 00:00:00+00:00,2017-06-07 09:04:00+00:00,True,0.0,5.0,This amazon fire 8 inch tablet is the perfect size. I purchased it for my husband so that he has a bigger screen than just his phone. He had gotten me one a few years ago so I knew it would be a good purchase.,Just what we expected,tklit,0.12104227393865585,0.3418404757976532,0.006725512444972992,0.0017619841964915395,0.5186492800712585,0.007854901254177094,0.0021256112959235907,0.9930018782615662,0.006998153403401375
"All-New Fire HD 8 Tablet, 8 HD Display, Wi-Fi, 16 GB",Amazon,"Electronics,iPad & Tablets,All Tablets,Fire Tablets,Tablets,Computers & Tablets",2017-01-12 00:00:00+00:00,2017-06-07 09:04:00+00:00,True,0.0,4.0,"Great for e-reading on the go, nice and light weight, and for the price point given, definitely worth the purchase.",great e-reader tablet,Droi,0.9523977637290955,0.029092924669384956,0.0033955678809434175,0.001029760460369289,0.01249870378524065,0.0010770801454782486,0.0005082038696855307,0.9935615062713623,0.0064385151490569115
"All-New Fire HD 8 Tablet, 8 HD Display, Wi-Fi, 16 GB",Amazon,"Electronics,iPad & Tablets,All Tablets,Fire Tablets,Tablets,Computers & Tablets",2017-01-12 00:00:00+00:00,2017-06-07 09:04:00+00:00,True,0.0,5.0,"I gave this as a Christmas gift to my inlaws, husband and uncle. They loved it and how easy they are to use with fantastic features!",Great for gifts,Kacy,0.923389732837677,0.030793793499469757,0.0025545447133481503,0.0012566382065415382,0.03813853859901428,0.003455053549259901,0.00041157749365083873,0.9938780665397644,0.0061219013296067715
"All-New Fire HD 8 Tablet, 8 HD Display, Wi-Fi, 16 GB",Amazon,"Electronics,iPad & Tablets,All Tablets,Fire Tablets,Tablets,Computers & Tablets",2017-01-23 00:00:00+00:00,2017-06-07 09:04:00+00:00,True,0.0,5.0,"Great as a device to read books. I like that it links with my borrowed library e-books. Switched from another popular tablet brand and I am happy with the choice I made. It took some time to get books from my previous non-Kindle reader, but finally figured out a way!",Great for reading,Weebee,0.9770871996879578,0.00731453113257885,0.002150229411199689,0.0006883454043418169,0.01110940519720316,0.0013812335673719645,0.00026902626268565655,0.9913977384567261,0.008602207526564598
"All-New Fire HD 8 Tablet, 8 HD Display, Wi-Fi, 16 GB",Amazon,"Electronics,iPad & Tablets,All Tablets,Fire Tablets,Tablets,Computers & Tablets",2017-01-23 00:00:00+00:00,2017-06-07 09:04:00+00:00,True,0.0,5.0,I love ordering books and reading them with the reader.,Great and lightweight reader,RoboBob,0.9846172332763672,0.006603500805795193,0.002940761623904109,0.0026902281679213047,0.001363096060231328,0.0013117179041728377,0.00047349976375699043,0.9919258952140808,0.008074154146015644
