name,brand,categories,date,dateSeen,doRecommend,numHelpful,rating,text,title,username,neutral,surprise,joy,sadness,anger,fear,disgust
Amazon Fire Tv,Amazon,"Stereos,Remote Controls,Amazon Echo,Audio Docks & Mini Speakers,Amazon Echo Accessories,Kitchen & Dining Features,Speaker Systems,Electronics,TVs Entertainment,Clearance,Smart Hubs & Wireless Routers,Featured Brands,Wireless Speakers,Smart Home & Connected Living,Home Security,Kindle Store,Home Automation,Home, Garage & Office,Home,Voice-Enabled Smart Assistants,Virtual Assistant Speakers,Portable Audio & Headphones,Electronics Features,Amazon Device Accessories,iPod, Audio Player Accessories,Home & Furniture Clearance,Consumer Electronics,Smart Home,Surveillance,Home Improvement,Smart Home & Home Automation Devices,Smart Hubs,Home Safety & Security,Voice Assistants,Alarms & Sensors,Amazon Devices,Audio,Holiday Shop",2017-09-06 00:00:00+00:00,2017-09-28 00:00:00+00:00,True,0.0,5.0,"Echo is learning everyday and its uses daily, i use it in place of a speaker and connect my phone to it.",Echo white,JvC1,0.8132851123809814,0.14186151325702667,0.019535809755325317,0.011358986608684063,0.007725629489868879,0.0031737834215164185,0.0030591534450650215
Amazon Fire Tv,Amazon,"Stereos,Remote Controls,Amazon Echo,Audio Docks & Mini Speakers,Amazon Echo Accessories,Kitchen & Dining Features,Speaker Systems,Electronics,TVs Entertainment,Clearance,Smart Hubs & Wireless Routers,Featured Brands,Wireless Speakers,Smart Home & Connected Living,Home Security,Kindle Store,Home Automation,Home, Garage & Office,Home,Voice-Enabled Smart Assistants,Virtual Assistant Speakers,Portable Audio & Headphones,Electronics Features,Amazon Device Accessories,iPod, Audio Player Accessories,Home & Furniture Clearance,Consumer Electronics,Smart Home,Surveillance,Home Improvement,Smart Home & Home Automation Devices,Smart Hubs,Home Safety & Security,Voice Assistants,Alarms & Sensors,Amazon Devices,Audio,Holiday Shop",2017-09-06 00:00:00+00:00,2017-09-28 00:00:00+00:00,True,0.0,5.0,"Echo is learning everyday and its uses daily, the fact that's it Bluetooth is awesome.",Echo black,JvC1,0.5685989260673523,0.20302830636501312,0.20594492554664612,0.007224806118756533,0.009194741025567055,0.0020736046135425568,0.003934676293283701
Amazon Fire Tv,Amazon,"Stereos,Remote Controls,Amazon Echo,Audio Docks & Mini Speakers,Amazon Echo Accessories,Kitchen & Dining Features,Speaker Systems,Electronics,TVs Entertainment,Clearance,Smart Hubs & Wireless Routers,Featured Brands,Wireless Speakers,Smart Home & Connected Living,Home Security,Kindle Store,Home Automation,Home, Garage & Office,Home,Voice-Enabled Smart Assistants,Virtual Assistant Speakers,Portable Audio & Headphones,Electronics Features,Amazon Device Accessories,iPod, Audio Player Accessories,Home & Furniture Clearance,Consumer Electronics,Smart Home,Surveillance,Home Improvement,Smart Home & Home Automation Devices,Smart Hubs,Home Safety & Security,Voice Assistants,Alarms & Sensors,Amazon Devices,Audio,Holiday Shop",2017-09-04 00:00:00+00:00,2017-09-28 00:00:00+00:00,True,0.0,5.0,"Speaker quality is better than expected, works well in the living room, convenient addition",Great speaker,CJ44,0.429939329624176,0.08399295806884766,0.4596998393535614,0.016036242246627808,0.003990626893937588,0.001417811494320631,0.004923230968415737
Amazon Fire Tv,Amazon,"Stereos,Remote Controls,Amazon Echo,Audio Docks & Mini Speakers,Amazon Echo Accessories,Kitchen & Dining Features,Speaker Systems,Electronics,TVs Entertainment,Clearance,Smart Hubs & Wireless Routers,Featured Brands,Wireless Speakers,Smart Home & Connected Living,Home Security,Kindle Store,Home Automation,Home, Garage & Office,Home,Voice-Enabled Smart Assistants,Virtual Assistant Speakers,Portable Audio & Headphones,Electronics Features,Amazon Device Accessories,iPod, Audio Player Accessories,Home & Furniture Clearance,Consumer Electronics,Smart Home,Surveillance,Home Improvement,Smart Home & Home Automation Devices,Smart Hubs,Home Safety & Security,Voice Assistants,Alarms & Sensors,Amazon Devices,Audio,Holiday Shop",2017-09-04 00:00:00+00:00,2017-09-28 00:00:00+00:00,True,0.0,5.0,Excellent product. It's well worth the money. I have my system linked to my Iris Security System,Excellent Product,Rick,0.5244780778884888,0.023349488154053688,0.4310964345932007,0.007251421455293894,0.006213342305272818,0.001455808524042368,0.006155407987535
Amazon Fire Tv,Amazon,"Stereos,Remote Controls,Amazon Echo,Audio Docks & Mini Speakers,Amazon Echo Accessories,Kitchen & Dining Features,Speaker Systems,Electronics,TVs Entertainment,Clearance,Smart Hubs & Wireless Routers,Featured Brands,Wireless Speakers,Smart Home & Connected Living,Home Security,Kindle Store,Home Automation,Home, Garage & Office,Home,Voice-Enabled Smart Assistants,Virtual Assistant Speakers,Portable Audio & Headphones,Electronics Features,Amazon Device Accessories,iPod, Audio Player Accessories,Home & Furniture Clearance,Consumer Electronics,Smart Home,Surveillance,Home Improvement,Smart Home & Home Automation Devices,Smart Hubs,Home Safety & Security,Voice Assistants,Alarms & Sensors,Amazon Devices,Audio,Holiday Shop",2017-09-04 00:00:00+00:00,2017-09-28 00:00:00+00:00,True,0.0,5.0,This is our 2nd Amazon Echo already. We got the black in in our living room & this on outlr master's bedroom. They are amazing products!,Great Product,Lentot,0.24066126346588135,0.39893344044685364,0.34317857027053833,0.007915366441011429,0.005317862145602703,0.0016434000572189689,0.0023501587565988302
Amazon Fire Tv,Amazon,"Stereos,Remote Controls,Amazon Echo,Audio Docks & Mini Speakers,Amazon Echo Accessories,Kitchen & Dining Features,Speaker Systems,Electronics,TVs Entertainment,Clearance,Smart Hubs & Wireless Routers,Featured Brands,Wireless Speakers,Smart Home & Connected Living,Home Security,Kindle Store,Home Automation,Home, Garage & Office,Home,Voice-Enabled Smart Assistants,Virtual Assistant Speakers,Portable Audio & Headphones,Electronics Features,Amazon Device Accessories,iPod, Audio Player Accessories,Home & Furniture Clearance,Consumer Electronics,Smart Home,Surveillance,Home Improvement,Smart Home & Home Automation Devices,Smart Hubs,Home Safety & Security,Voice Assistants,Alarms & Sensors,Amazon Devices,Audio,Holiday Shop",2017-09-04 00:00:00+00:00,2017-09-28 00:00:00+00:00,True,0.0,5.0,"This is my 2nd Echo, and I also have two of the smaller Dots. Amazon has now enabled multi-room music playing, with all your speakers that you've designated perfectly synced with each other. It also serves as a good quality Bluetooth speaker so you can use it with any other app on your device for sound. I also use it to control my connected lights and can even operate my entertainment system through a logitech hub. And, the voice assistant Alexa is just getting smarter and smarter with every passing month. Get it on sale when it's under 100 dollars and it makes one of the most useful electronics purchases you could make!",So multi-talented,Hiko303,0.7304385900497437,0.15475231409072876,0.09219139069318771,0.005887222476303577,0.011973617598414421,0.0011457810178399086,0.0036110603250563145
Amazon Fire Tv,Amazon,"Stereos,Remote Controls,Amazon Echo,Audio Docks & Mini Speakers,Amazon Echo Accessories,Kitchen & Dining Features,Speaker Systems,Electronics,TVs Entertainment,Clearance,Smart Hubs & Wireless Routers,Featured Brands,Wireless Speakers,Smart Home & Connected Living,Home Security,Kindle Store,Home Automation,Home, Garage & Office,Home,Voice-Enabled Smart Assistants,Virtual Assistant Speakers,Portable Audio & Headphones,Electronics Features,Amazon Device Accessories,iPod, Audio Player Accessories,Home & Furniture Clearance,Consumer Electronics,Smart Home,Surveillance,Home Improvement,Smart Home & Home Automation Devices,Smart Hubs,Home Safety & Security,Voice Assistants,Alarms & Sensors,Amazon Devices,Audio,Holiday Shop",2017-09-04 00:00:00+00:00,2017-09-28 00:00:00+00:00,True,0.0,5.0,"I was looking for a Bluetooth speaker to use to play Amazon Music, and this product allows to to listen to music and do so much more. If you have an Amazon Prime account you'll enjoy this product.",Great Product,Sparrow,0.08556238561868668,0.014002644456923008,0.8927136659622192,0.0027112928219139576,0.0022854162380099297,0.00044609885662794113,0.0022786033805459738
Amazon Fire Tv,Amazon,"Stereos,Remote Controls,Amazon Echo,Audio Docks & Mini Speakers,Amazon Echo Accessories,Kitchen & Dining Features,Speaker Systems,Electronics,TVs Entertainment,Clearance,Smart Hubs & Wireless Routers,Featured Brands,Wireless Speakers,Smart Home & Connected Living,Home Security,Kindle Store,Home Automation,Home, Garage & Office,Home,Voice-Enabled Smart Assistants,Virtual Assistant Speakers,Portable Audio & Headphones,Electronics Features,Amazon Device Accessories,iPod, Audio Player Accessories,Home & Furniture Clearance,Consumer Electronics,Smart Home,Surveillance,Home Improvement,Smart Home & Home Automation Devices,Smart Hubs,Home Safety & Security,Voice Assistants,Alarms & Sensors,Amazon Devices,Audio,Holiday Shop",2017-09-04 00:00:00+00:00,2017-09-28 00:00:00+00:00,True,0.0,5.0,"This is my fourth Echo device and me and my family are loving it. We use it many times in a day for various things like weather, time, controlling lights and other appliances. New feature of Music grouping makes it even better for filling your entire house with music.",Great device,Amit,0.1179232969880104,0.03863256052136421,0.8298273682594299,0.0056520807556807995,0.004593288991600275,0.0009913237299770117,0.0023800935596227646
Amazon Fire Tv,Amazon,"Stereos,Remote Controls,Amazon Echo,Audio Docks & Mini Speakers,Amazon Echo Accessories,Kitchen & Dining Features,Speaker Systems,Electronics,TVs Entertainment,Clearance,Smart Hubs & Wireless Routers,Featured Brands,Wireless Speakers,Smart Home & Connected Living,Home Security,Kindle Store,Home Automation,Home, Garage & Office,Home,Voice-Enabled Smart Assistants,Virtual Assistant Speakers,Portable Audio & Headphones,Electronics Features,Amazon Device Accessories,iPod, Audio Player Accessories,Home & Furniture Clearance,Consumer Electronics,Smart Home,Surveillance,Home Improvement,Smart Home & Home Automation Devices,Smart Hubs,Home Safety & Security,Voice Assistants,Alarms & Sensors,Amazon Devices,Audio,Holiday Shop",2017-09-04 00:00:00+00:00,2017-09-28 00:00:00+00:00,True,0.0,5.0,Now a device that is expandable and everyone in the house can use it. Works smooth. I am going to expand additional devices with this now.,Best thing ever,PolishEddie1,0.6976152062416077,0.08815564960241318,0.19223323464393616,0.008834860287606716,0.007490145042538643,0.001905979122966528,0.003764939960092306
Amazon Fire Tv,Amazon,"Stereos,Remote Controls,Amazon Echo,Audio Docks & Mini Speakers,Amazon Echo Accessories,Kitchen & Dining Features,Speaker Systems,Electronics,TVs Entertainment,Clearance,Smart Hubs & Wireless Routers,Featured Brands,Wireless Speakers,Smart Home & Connected Living,Home Security,Kindle Store,Home Automation,Home, Garage & Office,Home,Voice-Enabled Smart Assistants,Virtual Assistant Speakers,Portable Audio & Headphones,Electronics Features,Amazon Device Accessories,iPod, Audio Player Accessories,Home & Furniture Clearance,Consumer Electronics,Smart Home,Surveillance,Home Improvement,Smart Home & Home Automation Devices,Smart Hubs,Home Safety & Security,Voice Assistants,Alarms & Sensors,Amazon Devices,Audio,Holiday Shop",2017-09-04 00:00:00+00:00,2017-09-28 00:00:00+00:00,True,0.0,5.0,The Echo does everything it is advertised to do. Mine does things without a hitch that others have a problem with. Mine does lighting through my alarm system in a few simple steps. Works great!,Great! I need more when they go on sell again.,Birddog,0.7041316628456116,0.05470408499240875,0.20286773145198822,0.009420439600944519,0.01635848917067051,0.00963795930147171,0.0028795867692679167
